,Release_Date,Title,Overview,Popularity,Original_Language,Poster_Url,id,imdb_id,original_title,belongs_to_collection,Genre,tagline,cast,keywords,crew
1076,2011-10-17,Wrong Turn 4: Bloody Beginnings,"A group of friends take refuge in a deserted sanatorium after they are left stranded in a snowstorm. Later, the place becomes a death trap when man-eating cannibals surround them.",69.717,en,https://image.tmdb.org/t/p/original/lwGgaJ6DikLj7wgGB4PPNMs2piK.jpg,71672.0,tt1865567,Wrong Turn 4: Bloody Beginnings,[],"Horror, Thriller",These hillbillies are going crazy.,"['Jennifer Pudavick', 'Tenika Davis', 'Kaitlyn Wong', 'Terra Vnesa', 'Ali Tataryn']","['murder', 'lesbian relationship', 'snow']","[""Declan O'Brien""]"
1077,2013-05-31,The Purge,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",69.615,en,https://image.tmdb.org/t/p/original/1x4fHaDdlpWT5P2UV4ClKguWbTE.jpg,158015.0,tt2184339,The Purge,[],"Science Fiction, Horror, Thriller","One night a year, all crime is legal.","['Lena Headey', 'Ethan Hawke', 'Max Burkholder', 'Adelaide Kane', 'Rhys Wakefield']","['dystopia', 'barricade', 'home invasion', 'constitutional convention', 'legalized murder', 'social allegory']",['James DeMonaco']
1078,2016-07-14,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",69.599,en,https://image.tmdb.org/t/p/original/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,620.0,tt0087332,Ghostbusters,[],"Action, Fantasy, Comedy",They ain't afraid of no ghost.,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis', 'Rick Moranis']","['mythology', 'loser', 'marshmallow', 'slime', 'supernatural powers', 'nerd', 'environmental protection agency', 'hybrid', 'possession', 'new york city twin towers', 'haunting', 'gate keeper', 'giant monster', 'paranormal phenomena', 'receptionist', 'ghost', 'duringcreditsstinger']",['Ivan Reitman']
1081,2011-04-11,Scream 4,"Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale, who are now married, as well as her cousin Jill and her Aunt Kate. Unfortunately, Sidney's appearance also brings about the return of Ghostface, putting Sidney, Gale, and Dewey, along with Jill, her friends, and the whole town of Woodsboro in danger.",69.462,en,https://image.tmdb.org/t/p/original/g0YcSd5QpgGXOjg9tl0if0soOkE.jpg,41446.0,tt1262416,Scream 4,[],"Horror, Mystery",New Decade. New Rules.,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Emma Roberts', 'Hayden Panettiere']","['sheriff', 'book', 'knife', 'horror', 'rescue', 'author', 'masked killer', 'hospital', 'corpse']",['Wes Craven']
1083,2010-06-18,Jonah Hex,"Gunslinger Jonah Hex is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull, a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child.",69.313,en,https://image.tmdb.org/t/p/original/1MpWjcCn8M0763QDoxcN0gXrc5q.jpg,20533.0,tt1075747,Jonah Hex,[],"Action, Western, Drama, Fantasy, Thriller",Revenge gets ugly.,"['Josh Brolin', 'John Malkovich', 'Megan Fox', 'Michael Fassbender', 'Will Arnett']","['gunslinger', 'usa', 'dc comics', 'hell', 'facial scar', 'death', 'confederate', 'tomahawk']",['Jimmy Hayward']
1086,2011-09-15,Drive,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",69.175,en,https://image.tmdb.org/t/p/original/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,64690.0,tt0780504,Drive,[],"Drama, Thriller, Crime",There are no clean getaways.,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks', 'Oscar Isaac']","['stuntman', 'blood splatter', 'independent film', 'police chase', 'extreme violence', 'violence', 'car chase', 'bullet', 'head stomp', 'getaway', 'crime lord', 'existentialism', 'silent protagonist', 'great soundtrack']",['Nicolas Winding Refn']
1090,2007-09-18,Superman: Doomsday,"When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",69.04,en,https://image.tmdb.org/t/p/original/itvuWm7DFWWzWgW0xgiaKzzWszP.jpg,13640.0,tt0934706,Superman: Doomsday,[],"Action, Animation, Science Fiction, Family",Where were you the day Superman died?,"['Adam Baldwin', 'Anne Heche', 'James Marsters', 'John DiMaggio', 'Swoosie Kurtz']","['dc comics', 'superhero', 'based on comic', 'death', 'doomsday', 'super powers', 'superhuman strength', 'woman director']",['Lauren Montgomery']
1091,2009-08-05,District 9,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",68.978,en,https://image.tmdb.org/t/p/original/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,17654.0,tt1136608,District 9,[],Science Fiction,You are not welcome here.,"['Sharlto Copley', 'Jason Cope', 'Nathalie Boltt', 'Sylvaine Strike', 'Elizabeth Mkandawie']","['slum', 'street gang', 'mutation', 'south africa', 'johannesburg', 'dystopia', 'genetics', 'government', 'satire', 'alien', 'prawn', 'mockumentary', 'alternate history', 'racism', 'metamorphosis', 'xenophobia', 'internment camp', 'body transformation', 'alien technology', 'segregation']",['Neill Blomkamp']
1094,2013-06-27,White House Down,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",68.823,en,https://image.tmdb.org/t/p/original/hXLScIERphkTsMGdfKKvF4p4SPB.jpg,117251.0,tt2334879,White House Down,[],"Action, Drama, Thriller",It will start like any other day.,"['Channing Tatum', 'Jamie Foxx', 'Joey King', 'Maggie Gyllenhaal', 'Richard Jenkins']","['usa president', 'conspiracy', 'secret service', 'the white house']",['Roland Emmerich']
1095,2009-05-06,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",68.709,en,https://image.tmdb.org/t/p/original/9vaRPXj44Q2meHgt3VVfQufiHOJ.jpg,13475.0,tt0796366,Star Trek,[],"Science Fiction, Action, Adventure",The future begins.,"['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy', 'Eric Bana', 'Bruce Greenwood']","['spacecraft', 'teleportation', 'space mission', 'parachute', 'time travel', 'black hole', 'supernova', 'prequel', 'warp speed', 'futuristic', 'warp engine', 'romulans', 'outer space', 'vulcan', 'alternate reality', 'space opera', 'reboot']",['J.J. Abrams']
